Watching for file changes with StatReloader
Not Found: /article/article-detail/
"GET /article/article-detail/ HTTP/1.1" 404 4497
Not Found: /favicon.ico
Not Found: /article/article-detail/
"GET /article/article-detail/ HTTP/1.1" 404 4497
Not Found: /favicon.ico
"GET /favicon.ico HTTP/1.1" 404 2991
"GET /article/article-list/ HTTP/1.1" 200 13008
"GET /media/article/20210226/3.jpeg HTTP/1.1" 304 0
"GET /static/popper/popper-1.14.4.js HTTP/1.1" 304 0
"GET /static/md_css/monokai.css HTTP/1.1" 304 0
"GET /static/jquery/jquery-3.3.1.js HTTP/1.1" 304 0
"GET /static/layer/layer.js HTTP/1.1" 200 22116
"GET /static/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14367
"GET /article/article-list/ HTTP/1.1" 200 13008
"GET /article/article-detail/13/ HTTP/1.1" 200 39232
"GET /static/ckeditor/ckeditor-init.js HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/plugins/smiley/images/thumbs_up.png HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/plugins/smiley/images/teeth_smile.png HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/plugins/smiley/images/regular_smile.png HTTP/1.1" 304 0
"GET /static/prism/prism.css HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/ckeditor.js HTTP/1.1" 200 722348
"GET /static/ckeditor/ckeditor/config.js?t=K5H9 HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/skins/moono-lisa/editor.css?t=K5H9 HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/lang/en.js?t=K5H9 HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/styles.js?t=K5H9 HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/plugins/codesnippet/plugin.js?t=K5H9 HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/plugins/codesnippet/lang/en.js?t=K5H9 HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/plugins/scayt/dialogs/dialog.css?t=K5H9 HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/plugins/wsc/skins/moono-lisa/wsc.css?t=K5H9 HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/plugins/scayt/skins/moono-lisa/scayt.css?t=K5H9 HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/plugins/tableselection/styles/tableselection.css HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/plugins/dialog/styles/dialog.css HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/plugins/copyformatting/styles/copyformatting.css HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/plugins/codesnippet/icons/codesnippet.png?t=K5H9 HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/skins/moono-lisa/icons.png?t=eb2d11644 HTTP/1.1" 304 0
"GET /static/ckeditor/ckeditor/contents.css?t=K5H9 HTTP/1.1" 304 0
"GET /article/article-list/?search=&column=None&tag=None HTTP/1.1" 200 13008
"GET /article/article-list/?order=total_views&search=&column=None&tag=None HTTP/1.1" 200 13020
"GET /article/article-list/?search=&column=None&tag=None HTTP/1.1" 200 13008
"GET /article/article-list/ HTTP/1.1" 200 13008
"GET /article/article-detail/13/ HTTP/1.1" 200 39232
